Code,Function,Heated
31001_1000,Wohngebäude,t
31001_1010,Wohnhaus,t
31001_1020,Wohnheim,t
31001_1021,Kinderheim,t
31001_1022,Seniorenheim,t
31001_1023,Schwesternwohnheim,t
31001_1024,"Studenten-, Schülerwohnheim",t
31001_1025,Schullandheim,t
31001_1100,Gemischt genutztes Gebäude mit Wohnen,t
31001_1110,Wohngebäude mit Gemeinbedarf,t
31001_1120,Wohngebäude mit Handel und Dienstleistungen,t
31001_1121,Wohn- und Verwaltungsgebäude,t
31001_1122,Wohn- und Bürogebäude,t
31001_1123,Wohn- und Geschäftsgebäude,t
31001_1130,Wohngebäude mit Gewerbe und Industrie,t
31001_1131,Wohn- und Betriebsgebäude,t
31001_1210,Land- und forstwirtschaftliches Wohngebäude,t
31001_1220,Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,t
31001_1221,Bauernhaus,t
31001_1222,Wohn- und Wirtschaftsgebäude,t
31001_1223,Forsthaus,t
31001_1310,Gebäude zur Freizeitgestaltung,t
31001_1311,Ferienhaus,t
31001_1312,Wochenendhaus,t
31001_1313,Gartenhaus,f
31001_2000,Gebäude für Wirtschaft oder Gewerbe,f
31001_2010,Gebäude für Handel und Dienstleistungen,f
31001_2020,Bürogebäude,t
31001_2030,Kreditinstitut,t
31001_2040,Versicherung,t
31001_2050,Geschäftsgebäude,t
31001_2051,Kaufhaus,t
31001_2052,Einkaufszentrum,t
31001_2053,Markthalle,f
31001_2054,Laden,t
31001_2055,Kiosk,t
31001_2056,Apotheke,t
31001_2060,Messehalle,f
31001_2070,Gebäude für Beherbergung,t
31001_2071,"Hotel, Motel, Pension",t
31001_2072,Jugendherberge,t
31001_2073,Hütte (mit Übernachtungsmöglichkeit),t
31001_2074,Campingplatzgebäude,f
31001_2080,Gebäude für Bewirtung,t
31001_2081,"Gaststätte, Restaurant",t
31001_2082,Hütte (ohne Übernachtungsmöglichkeit),f
31001_2083,Kantine,t
31001_2090,Freizeit- und Vergnügungsstätte,t
31001_2091,Festsaal,t
31001_2092,Kino,t
31001_2093,"Kegel-, Bowlinghalle",t
31001_2094,Spielkasino,t
31001_2095,Spielhalle,t
31001_2100,Gebäude für Gewerbe und Industrie,f
31001_2110,Produktionsgebäude,f
31001_2111,Fabrik,f
31001_2112,Betriebsgebäude,f
31001_2113,Brauerei,f
31001_2114,Brennerei,f
31001_2120,Werkstatt,f
31001_2121,Sägewerk,f
31001_2130,Tankstelle,t
31001_2131,"Waschstraße, Waschanlage, Waschhalle",f
31001_2140,Gebäude für Vorratshaltung,f
31001_2141,Kühlhaus,f
31001_2142,Speichergebäude,f
31001_2143,"Lagerhalle, Lagerschuppen, Lagerhaus",f
31001_2150,Speditionsgebäude,f
31001_2160,Gebäude für Forschungszwecke,f
31001_2170,Gebäude für Grundstoffgewinnung,f
31001_2171,Bergwerk,f
31001_2172,Saline,f
31001_2180,Gebäude für betriebliche Sozialeinrichtung,t
31001_2200,Sonstiges Gebäude für Gewerbe und Industrie,f
31001_2210,Mühle,f
31001_2211,Windmühle,f
31001_2212,Wassermühle,f
31001_2213,Schöpfwerk,f
31001_2220,Wetterstation,f
31001_2310,Gebäude für Handel und Dienstleistung mit Wohnen,t
31001_2320,Gebäude für Gewerbe und Industrie mit Wohnen,t
31001_2400,Betriebsgebäude zu Verkehrsanlagen (allgemein),f
31001_2410,Betriebsgebäude für Straßenverkehr,f
31001_2411,Straßenmeisterei,f
31001_2412,Wartehalle,f
31001_2420,Betriebsgebäude für Schienenverkehr,f
31001_2421,Bahnwärterhaus,t
31001_2422,"Lokschuppen, Wagenhalle",f
31001_2423,"Stellwerk, Blockstelle",f
31001_2424,Betriebsgebäude des Güterbahnhofs,f
31001_2430,Betriebsgebäude für Flugverkehr,f
31001_2431,Flugzeughalle,f
31001_2440,Betriebsgebäude für Schiffsverkehr,f
31001_2441,Werft (Halle),f
31001_2442,Dock (Halle),f
31001_2443,Betriebsgebäude zur Schleuse,f
31001_2444,Bootshaus,f
31001_2450,Betriebsgebäude zur Seilbahn,f
31001_2451,Spannwerk zur Drahtseilbahn,f
31001_2460,Gebäude zum Parken,f
31001_2461,Parkhaus,f
31001_2462,Parkdeck,f
31001_2463,Garage,f
31001_2464,Fahrzeughalle,f
31001_2500,Gebäude zur Versorgung,f
31001_2501,Gebäude zur Energieversorgung,f
31001_2510,Gebäude zur Wasserversorgung,f
31001_2511,Wasserwerk,f
31001_2512,Pumpstation,f
31001_2513,Wasserbehälter,f
31001_2520,Gebäude zur Elektrizitätsversorgung,f
31001_2521,Elektrizitätswerk,f
31001_2522,Umspannwerk,f
31001_2523,Umformer,f
31001_2527,Reaktorgebäude,f
31001_2528,Turbinenhaus,f
31001_2529,Kesselhaus,f
31001_2540,Gebäude für Fernmeldewesen,f
31001_2560,Gebäude an unterirdischen Leitungen,f
31001_2570,Gebäude zur Gasversorgung,f
31001_2571,Gaswerk,f
31001_2580,Heizwerk,f
31001_2590,Gebäude zur Versorgungsanlage,f
31001_2591,Pumpwerk (nicht für Wasserversorgung),f
31001_2600,Gebäude zur Entsorgung,f
31001_2610,Gebäude zur Abwasserbeseitigung,f
31001_2611,Gebäude der Kläranlage,f
31001_2612,Toilette,f
31001_2620,Gebäude zur Abfallbehandlung,f
31001_2621,Müllbunker,f
31001_2622,Gebäude zur Müllverbrennung,f
31001_2623,Gebäude der Abfalldeponie,f
31001_2700,Gebäude für Land- und Forstwirtschaft,f
31001_2720,Land- und forstwirtschaftliches Betriebsgebäude,f
31001_2721,Scheune,f
31001_2723,Schuppen,f
31001_2724,Stall,f
31001_2726,Scheune und Stall,f
31001_2727,Stall für Tiergroßhaltung,f
31001_2728,Reithalle,f
31001_2729,Wirtschaftsgebäude,f
